Date,BTC Open,BTC High,BTC Low,BTC Close, BTC Volume,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Volume,Gold Open,Gold High,Gold Low,Gold Close,Gold Volume,Trend
2018-10-23,6472.359863,6506.009766,6451.27002,6475.740234,3716150000,7328.549805,7472.580078,7260.129883,7437.540039,2752010000,1224.8,1237.8,1224.8,1233.4,33,-1
2018-10-24,6478.890137,6521.990234,6468.859863,6495.839844,3424670000,7423.209961,7435.689941,7099,7108.399902,2959560000,1231.6,1231.6,1227.8,1227.8,36,1
2018-10-25,6484.649902,6504.649902,6447.029785,6476.290039,3230550000,7197.490234,7364.819824,7178.540039,7318.339844,2788090000,1238.6,1238.6,1229.1,1229.1,7,-1
2018-10-26,6468.439941,6498.290039,6449.609863,6474.75,3306050000,7125.180176,7283.319824,7057,7167.209961,2971530000,1234.3,1234.8,1232.5,1232.5,20,-1
2018-10-27,6480.839844,6507.410156,6453.529785,6480.379883,3393250000,7125.180176,7283.319824,7057,7167.209961,2971530000,1234.3,1234.8,1232.5,1232.5,20,1
2018-10-28,6482.660156,6502.279785,6447.910156,6486.390137,3445190000,7125.180176,7283.319824,7057,7167.209961,2971530000,1234.3,1234.8,1232.5,1232.5,20,1
2018-10-29,6492.350098,6503.600098,6306.990234,6332.629883,4199910000,7272.419922,7295.609863,6922.830078,7050.290039,2711900000,1224.5,1224.5,1224.5,1224.5,214,-1
2018-10-30,6337.040039,6364.990234,6310.140137,6334.27002,3781100000,7017.870117,7166.839844,7001.47998,7161.649902,2699220000,1227.7,1227.7,1219.8,1222.6,72,1
2018-10-31,6336.990234,6349.160156,6316.879883,6317.609863,4191240000,7276.620117,7368.490234,7270.629883,7305.899902,2918880000,1216,1216.6,1212,1212.3,121,-1
2018-11-01,6318.140137,6547.140137,6311.830078,6377.779785,3789400000,7327.819824,7435.879883,7286.5,7434.060059,2728760000,1215.4,1236,1215.4,1236,14,1
2018-11-02,6378.919922,6396.859863,6327.379883,6388.439941,4234870000,7424.02002,7466.529785,7298.680176,7356.990234,2899670000,1233.3,1233.3,1230.9,1230.9,18,1
2018-11-03,6387.240234,6400.069824,6342.370117,6361.259766,3658640000,7424.02002,7466.529785,7298.680176,7356.990234,2899670000,1233.3,1233.3,1230.9,1230.9,18,-1
2018-11-04,6365.470215,6388.629883,6294.569824,6376.129883,4390020000,7424.02002,7466.529785,7298.680176,7356.990234,2899670000,1233.3,1233.3,1230.9,1230.9,18,1
2018-11-05,6363.620117,6480.589844,6363.620117,6419.660156,4174800000,7344.080078,7349.22998,7255.879883,7328.850098,2186310000,1230.6,1231.5,1226.7,1229.8,15,1
2018-11-06,6433.379883,6463.549805,6408.160156,6461.009766,4700040000,7326.069824,7400.640137,7320.890137,7375.959961,2300920000,1230.7,1233.8,1223.8,1223.8,4,1
2018-11-07,6468.5,6552.160156,6468.310059,6530.140137,4941260000,7446.089844,7572.930176,7435.870117,7570.75,2687410000,1228.6,1228.6,1226.2,1226.2,1,1
2018-11-08,6522.27002,6536.919922,6438.529785,6453.720215,4665260000,7544.169922,7566.930176,7499.709961,7530.879883,2475160000,1222.9,1222.9,1222.9,1222.9,2,-1
2018-11-09,6442.600098,6456.459961,6373.370117,6385.620117,4346820000,7468.509766,7474.339844,7349.47998,7406.899902,2426750000,1207.9,1207.9,1206.4,1206.4,14,-1
2018-11-10,6386.129883,6437.279785,6385.310059,6409.220215,3705320000,7468.509766,7474.339844,7349.47998,7406.899902,2426750000,1207.9,1207.9,1206.4,1206.4,14,1
2018-11-11,6413.629883,6423.25,6350.169922,6411.27002,3939060000,7468.509766,7474.339844,7349.47998,7406.899902,2426750000,1207.9,1207.9,1206.4,1206.4,14,1
2018-11-12,6411.759766,6434.209961,6360.470215,6371.27002,4295770000,7364.049805,7371.089844,7193.77002,7200.870117,2305340000,1201.6,1201.6,1201.3,1201.3,1,-1
2018-11-13,6373.189941,6395.27002,6342.669922,6359.490234,4503800000,7230.689941,7319.120117,7182.859863,7200.870117,2361240000,1196.3,1201.3,1196.3,1199.2,5,-1
2018-11-14,6351.240234,6371.549805,5544.089844,5738.350098,7398940000,7265.390137,7285.569824,7101.169922,7136.390137,2566210000,1207.9,1207.9,1207.9,1207.9,5,-1
2018-11-15,5736.149902,5774.819824,5358.379883,5648.029785,7032140000,7112.830078,7274.259766,7072.359863,7259.029785,2523500000,1212.8,1212.8,1212.8,1212.8,5,-1
2018-11-16,5645.319824,5657.02002,5498.939941,5575.549805,5279320000,7193.600098,7274.859863,7171.700195,7247.870117,2466980000,1216.7,1223.8,1216.7,1220.8,5,-1
2018-11-17,5578.580078,5578.580078,5519.560059,5554.330078,4303150000,7193.600098,7274.859863,7171.700195,7247.870117,2466980000,1216.7,1223.8,1216.7,1220.8,5,-1
2018-11-18,5559.740234,5653.609863,5559.740234,5623.540039,4159680000,7193.600098,7274.859863,7171.700195,7247.870117,2466980000,1216.7,1223.8,1216.7,1220.8,5,1
2018-11-19,5620.779785,5620.779785,4842.910156,4871.490234,7039560000,7217.240234,7224.120117,7011.399902,7028.47998,2381430000,1223.1,1223.1,1223.1,1223.1,5,-1
2018-11-20,4863.930176,4951.609863,4272.109863,4451.870117,8428290000,6867.430176,6994.75,6830.759766,6908.819824,2672250000,1225.3,1228.8,1219,1219,12,-1
2018-11-21,4465.540039,4675.72998,4343.97998,4602.169922,6120120000,6985.509766,7029.930176,6951.620117,6972.25,1867840000,1225.8,1225.8,1225.8,1225.8,12,1
2018-11-22,4611.569824,4629.640137,4365.640137,4365.939941,4569370000,6985.509766,7029.930176,6951.620117,6972.25,1867840000,1225.8,1225.8,1225.8,1225.8,12,-1
2018-11-23,4360.700195,4396.419922,4195.680176,4347.109863,4871490000,6919.52002,6987.890137,6919.160156,6938.97998,958950000,1224.8,1224.8,1221,1221,1,-1
2018-11-24,4347.689941,4413.089844,3795.159912,3880.76001,4679500000,6919.52002,6987.890137,6919.160156,6938.97998,958950000,1224.8,1224.8,1221,1221,1,-1
2018-11-25,3880.780029,4120.870117,3585.060059,4009.969971,6825640000,6919.52002,6987.890137,6919.160156,6938.97998,958950000,1224.8,1224.8,1221,1221,1,1
2018-11-26,4015.070068,4107.140137,3643.919922,3779.129883,6476900000,7026.5,7083.930176,7003.120117,7081.850098,2036910000,1220.2,1222,1220.2,1220.2,2,-1
